repo,pr_id,title,state,created_at,closed_at,merged_at
pytorch/pytorch,183086,Remove unused 'type: ignore' suppressions in dynamo/inductor/functorch,open,2026-05-10,,
pytorch/pytorch,169126,[Inductor] Fix assertion failure in efficient_conv_bn_eval for default args,open,2025-11-26,,
pytorch/pytorch,174370,[XPU][Test] Migrate 6 UT test suites for Intel GPU,open,2026-02-05,,
pytorch/pytorch,182617,Remove XPU-specific skips in gpu_cpp_wrapper,open,2026-05-06,,
pytorch/pytorch,183101,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,182407,Support memory snapshot for CPU pinned memory,open,2026-05-05,,
pytorch/pytorch,183100,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,180766,[FFT] Support f16/bf16 inputs on CUDA/XPU via promotion to float32,open,2026-04-19,,
pytorch/pytorch,183099,[dynamo] Build descriptor variables from builder,closed,2026-05-10,2026-05-10,
pytorch/pytorch,182968,[dynamo] Add InstanceMethodVariable for PyInstanceMethod_Type,open,2026-05-08,,
pytorch/pytorch,183098,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,183097,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,152069,[Proposal] Drop legacy CUDA support to slim down the wheels,closed,2025-04-23,2025-04-25,
pytorch/pytorch,181000,[inductor] Dump Python stacks on CI test subprocess timeout,open,2026-04-21,,
pytorch/pytorch,183096,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,183094,[TESTING] [skip ci] ghexport smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,183095,[TESTING] [skip ci] ghexport smoketest 2,closed,2026-05-10,2026-05-10,
pytorch/pytorch,183093,MPS: Replace MPSGraph loss ops with fixed Metal kernels (LossOps.metal),open,2026-05-10,,
pytorch/pytorch,180448,[meta tensors] Fix conv2d kernel size validation for meta and symbolic shapes,open,2026-04-15,,
pytorch/pytorch,169241,[XPU] Migrate 13 dynamo test cases for XPU,open,2025-11-29,,
pytorch/pytorch,182900,test: relax tolerance of test_Embedding_discontiguous_cuda,open,2026-05-07,,
pytorch/pytorch,183054,coverage-td plan,open,2026-05-09,,
pytorch/pytorch,183058,adds missing vector header in Handlers.hpp,closed,2026-05-09,2026-05-09,
pytorch/pytorch,176100,Fix user-defined Triton kernel name mangling in Inductor codegen,open,2026-03-01,,
pytorch/pytorch,183092,[Docs] chore: convert design.rst to markdown,open,2026-05-10,,
pytorch/pytorch,183091,[Docs] chore: convert persons_of_interest.rst to markdown,open,2026-05-10,,
pytorch/pytorch,176921,[ROCm][Windows] Fix IS_ROCM detection in test_selections.py,open,2026-03-09,,
pytorch/pytorch,173379,tools: avoid duplicate entries when merging VS Code list settings,closed,2026-01-26,2026-05-10,
pytorch/pytorch,181643,Add optimizer reparameterization helper for non-strict tracing,open,2026-04-27,,
pytorch/pytorch,182063,Push custom op incorrect aliasing deprecation message to the future,closed,2026-04-30,2026-05-10,
pytorch/pytorch,182713,[Docathon 2026] Convert torch.rst to MyST Markdown,open,2026-05-06,,
pytorch/pytorch,181948,[ROCm] Bump CK submodule to include gfx1033 support,open,2026-04-30,,
pytorch/pytorch,174585,view groups unbacked,closed,2026-02-09,2026-05-10,
pytorch/pytorch,180135,[Stable C Shim] Shim functions to retrieve error message,open,2026-04-11,,
pytorch/pytorch,179421,[Stable C Shim] Add new/delete function for StableIValue,open,2026-04-05,,
pytorch/pytorch,175747,[bucketing] Coalesced bucketing mode,open,2026-02-25,,
pytorch/pytorch,169798,"[XPU] Migrate 2 test cases autograd, creation_ops for XPU",open,2025-12-08,,
pytorch/pytorch,183057,[ROCm] Revert #178310 to fix cmake error,open,2026-05-09,,
pytorch/pytorch,182924,[Fix] DLPack toDLPackNonOwning: handle MPS storage_offset,open,2026-05-08,,
pytorch/pytorch,183088,[dynamo] Make UDOV setattr follow descriptor order,open,2026-05-10,,
tensorflow/tensorflow,117981,[XLA:CPU] Unify platform-dependent math flags,open,2026-05-08,,
tensorflow/tensorflow,118073,Algebraic simplifier changes,open,2026-05-10,,
tensorflow/tensorflow,117980,[XLA:CPU] HLO Stitcher pass optimizations.,open,2026-05-08,,
tensorflow/tensorflow,118016,Automated Code Change,closed,2026-05-09,2026-05-10,2026-05-10
tensorflow/tensorflow,118071,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,117987,PR #42259: [xla:ffi] When setting opaque state require TypeInfo,closed,2026-05-08,2026-05-10,2026-05-10
tensorflow/tensorflow,117959,PR #42236: [xla:gpu] Disable fabric handles in CudaExecutor::Init if not needed,open,2026-05-08,,
tensorflow/tensorflow,116150,[TFLite][toco] Fix L2_NORMALIZATION incorrectly emitted for axis=None,open,2026-04-17,,
tensorflow/tensorflow,118072,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,117834,[XLA:GPU] printing and logging in symbolic tile analysis,closed,2026-05-07,2026-05-10,2026-05-10
tensorflow/tensorflow,118035,Update CUDA device visibility logic in wheel renaming script,open,2026-05-09,,
tensorflow/tensorflow,118070,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118069,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118068,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,117915,[XLA] Support for late binding in alias_info,open,2026-05-08,,
tensorflow/tensorflow,118067,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118066,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118065,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118064,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118063,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118062,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118061,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118060,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118059,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118058,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118057,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118056,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118055,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118054,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118053,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118043,[XLA] Add and move AliasInfo tests to alias_info_test.cc,open,2026-05-10,,
tensorflow/tensorflow,118042,[XLA] Move AliasInfo tests and clean up alias_info_test.cc,open,2026-05-10,,
tensorflow/tensorflow,118052,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118051,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118050,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118049,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118048,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118047,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118046,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,117979,[XLA:CPU] Refactor multi-module driver compilation scheduling to tsl::Executor,closed,2026-05-08,2026-05-10,2026-05-10
tensorflow/tensorflow,118045,Automated Code Change,open,2026-05-10,,
tensorflow/tensorflow,118018,Automated Code Change,closed,2026-05-09,2026-05-10,2026-05-10
tensorflow/tensorflow,118002,Automated Code Change,closed,2026-05-09,2026-05-10,2026-05-10
tensorflow/tensorflow,118014,Automated Code Change,open,2026-05-09,,
tensorflow/tensorflow,118000,Automated Code Change,closed,2026-05-09,2026-05-10,2026-05-10
tensorflow/tensorflow,118041,Drop cloning recursively.,open,2026-05-09,,
tensorflow/tensorflow,117717,[XLA] Centralize MaterializeSparseOperand for materializing sparse matrices,closed,2026-05-05,2026-05-09,2026-05-09
tensorflow/tensorflow,117995,[XLA] add tests for alias_info (part 1),closed,2026-05-09,2026-05-09,2026-05-09
tensorflow/tensorflow,118040,[XLA] Allow multiple operands for HloAsyncUpdate in CreateFromProto.,open,2026-05-09,,
tensorflow/tensorflow,118039,Batch update func argument attributes for HloShardingV2 sharding import.,open,2026-05-09,,
tensorflow/tensorflow,118038,Refactor HloShardingV2 sharding import logic to inline removeFrontendAttribute.,open,2026-05-09,,
tensorflow/tensorflow,118037,Refactor HloShardingV2 sharding import logic to reuse dict attribute.,open,2026-05-09,,
tensorflow/tensorflow,118036,Refactor HloShardingV2 sharding import logic to reuse attributename.,open,2026-05-09,,
tensorflow/tensorflow,118027,Partially rolling forward the bits needed to compile Pallas Triton to PTX,closed,2026-05-09,2026-05-09,2026-05-09
tensorflow/tensorflow,117986,Batch update func argument attributes on shardy.,open,2026-05-08,,
tensorflow/tensorflow,117891,Fix core dump and int overflow in UnicodeDecodeWithOffsets,open,2026-05-07,,
tensorflow/tensorflow,117797,[GPU] Use Collective ops Buffer Analysis in special copy insertion,open,2026-05-07,,
tensorflow/tensorflow,117973,Batch update func result shardings on importing HloShardingV2 shardings.,closed,2026-05-08,2026-05-09,2026-05-09
tensorflow/tensorflow,118025,Batch update func argument shardings on hlo function importer.,closed,2026-05-09,2026-05-09,2026-05-09
tensorflow/tensorflow,118033,forwardprop: clear error when ForwardAccumulator primals/tangents shapes mismatch (#99160),open,2026-05-09,,
huggingface/transformers,45818,trainer: clear MPS graph cache after each optimizer step (pytorch#182648),open,2026-05-07,,
huggingface/transformers,45546,feat: Add GGUF loading support for Llama 4 (text),open,2026-04-21,,
huggingface/transformers,45861,Fix M-RoPE device mismatch in Qwen3VL family under FSDP2 CPU offload,open,2026-05-09,,
huggingface/transformers,40546,Implement VibeVoice ,open,2025-08-29,,
huggingface/transformers,45351,fix(testing_utils): guard get_device_capability with torch.cuda.is_available(),open,2026-04-09,,
huggingface/transformers,45843,fix model parallel issues for deimv2,open,2026-05-08,,
huggingface/transformers,45863,fix: add HF_USE_MLX opt-out for MLX detection,open,2026-05-09,,
huggingface/transformers,45862,[new model] Add Zyphra/ZAYA1-8B,open,2026-05-09,,
huggingface/transformers,45846,[Cache] Add `Cache.snapshot()` / `Cache.restore(snapshot)` for tentative-forward rollback,open,2026-05-08,,
huggingface/transformers,43192,[Trackio] support trackio gpu logging,closed,2026-01-09,2026-05-09,
huggingface/transformers,45729,fix: AutoConfig reloads wrong class after save_pretrained + local register,open,2026-04-30,,
huggingface/transformers,45838,[Model] Add PP-OCRv6 Text Recognition Models Support,open,2026-05-08,,
huggingface/transformers,45699,Add FP8 kernel acceleration for compressed-tensors quantized models,open,2026-04-29,,
huggingface/transformers,45860,fix(text-generation): use token-level slicing for return_full_text=Fa…,open,2026-05-09,,
huggingface/transformers,45858,hy_v3: add XPU expectations,open,2026-05-09,,
huggingface/transformers,43339,add xpu expectation for lw_detr model,closed,2026-01-19,2026-01-30,2026-01-30
huggingface/transformers,43403,handle 1D position_ids for modeling_flash_attention_utils as well,closed,2026-01-22,2026-01-26,2026-01-26
huggingface/transformers,45671,Update latest revision for Phi-4-multimodal test,closed,2026-04-28,2026-04-30,
huggingface/transformers,45452,refactor: replace wildcard imports with explicit imports in model __init__.py files,open,2026-04-15,,
huggingface/transformers,45857,Fix `tie_word_embeddings` not lifted from `text_config` for some VLM configs (BC regression),open,2026-05-09,,
huggingface/transformers,45855,-,closed,2026-05-09,2026-05-09,
huggingface/transformers,45836,fix(minicpmv4_6): skip invalid failing tests,open,2026-05-08,,
huggingface/transformers,45856,Migrate TF32 API calls to new fp32_precision API,open,2026-05-09,,
huggingface/transformers,45034,Pass packed boundary metadata to Qwen3.5 linear-attention fast kernels from data collator,open,2026-03-26,,
huggingface/transformers,45497,Add V-JEPA 2.1 inference support,open,2026-04-17,,
huggingface/transformers,45840,fix: ModuleNotFoundError caused by distributed race condition in ci/cd,open,2026-05-08,,
huggingface/transformers,43838,Qwen3 ASR and Forced Aligner,open,2026-02-08,,
huggingface/transformers,45795,[docs] adding audio/video processors,open,2026-05-05,,
huggingface/transformers,45852,Fix slow Trainer path with 4D attention mask,open,2026-05-08,,
huggingface/transformers,41693,🚨 Refactor ViT to updated standards,closed,2025-10-17,2026-05-08,2026-05-08
huggingface/transformers,45493,Modularize `ProcessorMixin` into smaller components,open,2026-04-17,,
huggingface/transformers,45851,[docs] chat template,open,2026-05-08,,
huggingface/transformers,43924,:rotating_light: [`Attn`] Remove all old mask APIs from modeling,open,2026-02-11,,
huggingface/transformers,45847,Streamable chat parsing,open,2026-05-08,,
huggingface/transformers,45849,"Enhance apply_chat_template to support custom field prefilling (reasoning_content, thinking, etc.)",open,2026-05-08,,
huggingface/transformers,45682,FIX Restore LoRA hotswapping functionality,open,2026-04-28,,
huggingface/transformers,45848,Add Maximal Update Parametrization (μP),open,2026-05-08,,
huggingface/transformers,45845,fix(rf_detr): fix failing tests,closed,2026-05-08,2026-05-08,2026-05-08
huggingface/transformers,45844,fix(granite4_vision): auto-fix failing tests,closed,2026-05-08,2026-05-08,2026-05-08
huggingface/transformers,45842,fix(laguna): fix failing tests,closed,2026-05-08,2026-05-08,2026-05-08
huggingface/transformers,44178,Add xcodec2 model,open,2026-02-20,,
huggingface/transformers,44664,:rotating_light: Generic Sequence Classifier works for multimodal models,closed,2026-03-13,2026-05-08,2026-05-08
huggingface/transformers,45833,Add Qwen3.5 support for token classification,closed,2026-05-07,2026-05-08,2026-05-08
huggingface/transformers,45808,"🚨 [Fuyu] Remove FuyuBatchFeature subclass, use BatchFeature with skip_tensor_conversion",closed,2026-05-06,2026-05-08,2026-05-08
huggingface/transformers,45804,Fix import error in moe.py by providing explicit schema to custom_op,closed,2026-05-06,2026-05-08,2026-05-08
huggingface/transformers,45743,fix(bitsandbytes): implement reverse_op for Bnb4bitDeserialize and Bnb8bitDeserialize,open,2026-05-02,,
huggingface/transformers,45824,fix: correct typo 'seperate' -> 'separate' in comments across multipl…,closed,2026-05-07,2026-05-08,2026-05-08
huggingface/transformers,45830,fix: raise ValueError when num_beams × vocab_size exceeds torch.multinomial limit,closed,2026-05-07,2026-05-08,
huggingface/transformers,45745,feat: add crop() to StaticCache layers for assisted generation,open,2026-05-02,,
huggingface/transformers,45825,[CI] Replace PAT with GitHub App token in repo-consistency-bot,open,2026-05-07,,
huggingface/transformers,44171,Parakeet tdt,open,2026-02-20,,
huggingface/transformers,45802,Keep deleting ,closed,2026-05-06,2026-05-08,2026-05-08
huggingface/transformers,45835,fix: kosmos2.5: properly expand embeddings table,open,2026-05-08,,
huggingface/transformers,45396,Extract dynamic vision/audio tensors into standalone pure functions,open,2026-04-13,,
huggingface/transformers,45837,WIP: fix(deepseek_v4) correct CSA per-query block mask and causal top-k guard in eager attention,open,2026-05-08,,
huggingface/transformers,45643,Add DeepSeek V4,closed,2026-04-25,2026-05-02,2026-05-02
huggingface/transformers,45817,Fix model parallel bugs for Gemma4,open,2026-05-07,,
huggingface/transformers,45782,Fix WeightConverter regex incorrectly matching shared_experts as experts in DeepSeek V4,closed,2026-05-05,2026-05-06,2026-05-06
huggingface/transformers,45787,fix: ModuleNotFoundError caused by distributed race condition in ci/cd test,closed,2026-05-05,2026-05-08,
huggingface/transformers,45568,Gemma4: fix failed test cases,closed,2026-04-22,2026-05-05,2026-05-05
langchain-ai/langchain,37308,fix(core): avoid eager `pydantic.v1` import in `@deprecated`,closed,2026-05-10,2026-05-10,2026-05-10
langchain-ai/langchain,37272,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/mistralai,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37263,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/openrouter,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37253,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/standard-tests,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37254,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/model-profiles,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37266,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/openai,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37255,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/xai,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37262,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/perplexity,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37273,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/huggingface,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37258,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/qdrant,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37268,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/ollama,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37269,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/nomic,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37274,chore: bump setuptools from 80.9.0 to 82.0.1 in /libs/partners/huggingface,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37276,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/groq,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37279,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/fireworks,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37260,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/qdrant,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37278,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/fireworks,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37275,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/huggingface,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37270,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/nomic,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37277,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/groq,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37271,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/mistralai,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37256,chore: bump requests from 2.33.0 to 2.33.1 in /libs/partners/xai,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37261,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/perplexity,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37264,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/openrouter,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37267,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/ollama,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37257,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/xai,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37280,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/exa,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37265,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/openai,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37259,chore: bump requests from 2.33.0 to 2.33.1 in /libs/partners/qdrant,closed,2026-05-08,2026-05-09,
langchain-ai/langchain,37282,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/deepseek,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37281,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/exa,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37284,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/chroma,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37283,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/deepseek,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37285,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/chroma,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37286,chore: bump requests from 2.33.0 to 2.33.1 in /libs/partners/anthropic,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37287,chore: bump langsmith from 0.7.31 to 0.8.3 in /libs/partners/anthropic,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37288,chore: bump langchain-core from 1.3.2 to 1.3.3 in /libs/partners/anthropic,closed,2026-05-08,2026-05-09,2026-05-09
langchain-ai/langchain,37303,feat(langchain): add ATRThreatDetectionMiddleware for agent threat detection,closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37302,fix(mistralai): strip strict param from Mistral API request payload,closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37298,"fix(core, openai): backport SSRF-safe transport for image token counting to v0.3",closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37301,fix(text-splitters): backport HTMLHeaderTextSplitter SSRF redirect-bypass fix to v0.3,closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37291,fix(chroma): block path traversal in `add_images` image URIs,closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37295,fix(core): remove exploitable SSRF bypass in `validate_safe_url`,closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37292,fix(core): remove exploitable SSRF bypass in `validate_safe_url`,closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37289,Fix/use deque to fix o(n²) in experimental markdown syntax text splitter #36488,closed,2026-05-09,2026-05-09,
langchain-ai/langchain,37252,fix(core): support string data in `Blob.as_bytes_io`,closed,2026-05-08,2026-05-08,
langchain-ai/langchain,37247,chore(model-profiles): refresh model profile data,closed,2026-05-08,2026-05-08,2026-05-08
langchain-ai/langchain,37250,release(langchain): 1.2.18,closed,2026-05-08,2026-05-08,2026-05-08
langchain-ai/langchain,37249,revert: feat(langchain): ls_agent_type tag on create_agent calls,closed,2026-05-08,2026-05-08,2026-05-08
langchain-ai/langchain,34014,feat(huggingface): expose `reasoning_content` in `AIMessageChunk`,open,2025-11-18,,
langchain-ai/langchain,37246,docs: legacy serialization mapping points to outdated module namespace,closed,2026-05-08,2026-05-08,
langchain-ai/langchain,36940,fix(core): use parsed mime_type for base64 file blocks in openai translator,open,2026-04-22,,
langchain-ai/langchain,37243,feat: Scoping for conditional interrupts,open,2026-05-07,,
langchain-ai/langchain,36774,feat(langchain): `ls_agent_type` tag on `create_agent` calls,closed,2026-04-15,2026-04-17,2026-04-17
langchain-ai/langchain,37235,chore: bump mistune from 3.1.4 to 3.2.1 in /libs/text-splitters,closed,2026-05-07,2026-05-07,2026-05-07
langchain-ai/langchain,37236,chore: bump mistune from 3.1.4 to 3.2.1 in /libs/langchain,closed,2026-05-07,2026-05-07,2026-05-07
langchain-ai/langchain,37237,chore: bump mistune from 3.1.4 to 3.2.1 in /libs/core,closed,2026-05-07,2026-05-07,2026-05-07
langchain-ai/langchain,37135,chore(langchain): deprecate classic hub entry points,closed,2026-05-01,2026-05-07,
langchain-ai/langchain,37242,release(core): 0.3.86,closed,2026-05-07,2026-05-07,2026-05-07
langchain-ai/langchain,37241,release(langchain): release 0.3.30,closed,2026-05-07,2026-05-07,2026-05-07
numpy/numpy,30828,PERF: Speed up `np.isin` table method with clipped indexing,open,2026-02-13,,
numpy/numpy,31261,ENH: add max_lag and lags parameters to correlate/convolve,open,2026-04-16,,
numpy/numpy,31348,ENH: Add armv7l wheel builds (manylinux/musllinux),open,2026-04-28,,
numpy/numpy,31175,MAINT: allow reading auxv output from recent glibc versions on s390x,open,2026-04-07,,
numpy/numpy,31032,BUG: Allow explicit `out=None`  for `ufunc` overrides.,open,2026-03-19,,
numpy/numpy,30837,BUG: Fix missing dtype reset in MaskedRecords.view() when dtype is ndarray subclass,open,2026-02-15,,
numpy/numpy,31270,MAINT: Replace malloc/free with PyArray_malloc/free in buffer.c,open,2026-04-18,,
numpy/numpy,31256,ENH: Allow downstream to register for DLPack support,open,2026-04-16,,
numpy/numpy,31407,MAINT: Bump int128/hide-comment-action from 1.57.0 to 1.58.0,closed,2026-05-08,2026-05-08,2026-05-08
numpy/numpy,31406,MAINT: Bump github/codeql-action from 4.35.2 to 4.35.3,closed,2026-05-08,2026-05-08,2026-05-08
numpy/numpy,31401,"BUG: Avoid UB in safe_[add,sub,mul] helpers (#31396)",closed,2026-05-08,2026-05-08,2026-05-08
numpy/numpy,31402,BUG: exclude __pycache__ directories from wheels (#31397),closed,2026-05-08,2026-05-08,2026-05-08
numpy/numpy,31404,TYP: `_NestedSequence` type parameter default to work around a mypy issue (#31399),closed,2026-05-08,2026-05-08,2026-05-08
numpy/numpy,31403,TST: fix test_limited_opaque for 3.15 PySlot,closed,2026-05-08,2026-05-08,2026-05-08
numpy/numpy,31091,ENH: Implement opaque PyObject ABI support ,closed,2026-03-29,2026-05-06,2026-05-06
numpy/numpy,31399,TYP: `_NestedSequence` type parameter default to work around a mypy issue,closed,2026-05-08,2026-05-08,2026-05-08
numpy/numpy,31397,BUG: exclude __pycache__ directories from wheels,closed,2026-05-06,2026-05-07,2026-05-07
numpy/numpy,31396,"BUG: Avoid UB in safe_[add,sub,mul] helpers",closed,2026-05-06,2026-05-07,2026-05-07
numpy/numpy,31276,ENH: use `_get_bin_edges()` on `histogramdd` for consistency.,open,2026-04-19,,
