Idx,Listinginfo1,LogInfo1,LogInfo2,LogInfo3
10011,2014-02-24,-4,6,2014-02-21
10011,2014-02-24,-4,6,2014-02-21
10011,2014-02-24,-4,6,2014-02-22
10011,2014-02-24,-4,6,2014-02-22
10011,2014-02-24,-4,6,2014-02-23
10011,2014-02-24,-4,6,2014-02-23
10011,2014-02-24,-4,6,2014-02-24
10011,2014-02-24,-4,6,2014-02-24
10011,2014-02-24,-4,6,2014-02-24
10011,2014-02-24,-4,6,2014-02-24
10011,2014-02-24,-4,6,2014-02-24
10011,2014-02-24,-4,6,2014-02-24
10011,2014-02-24,-4,6,2014-02-24
10015,2014-02-28,1,2,2014-02-20
10015,2014-02-28,-4,6,2014-02-20
10015,2014-02-28,-4,6,2014-02-21
10015,2014-02-28,-4,6,2014-02-21
10015,2014-02-28,-4,6,2014-02-26
10015,2014-02-28,-4,6,2014-02-26
10015,2014-02-28,-4,6,2014-02-27
10015,2014-02-28,-4,6,2014-02-27
10015,2014-02-28,-4,6,2014-02-28
10019,2014-02-24,1,0,2013-09-11
10019,2014-02-24,10,20,2014-02-20
10019,2014-02-24,104,6,2014-02-21
10019,2014-02-24,1,1,2013-09-11
10019,2014-02-24,1,2,2014-02-20
10019,2014-02-24,1,4,2014-02-21
10019,2014-02-24,2,1,2013-09-11
10019,2014-02-24,4,1,2013-09-11
10019,2014-02-24,-4,6,2013-09-11
10019,2014-02-24,-4,6,2013-09-11
10019,2014-02-24,-4,6,2013-09-11
10019,2014-02-24,-4,6,2013-09-11
10019,2014-02-24,-4,6,2014-02-20
10019,2014-02-24,-4,6,2014-02-21
10019,2014-02-24,-4,6,2014-02-21
10019,2014-02-24,-4,6,2014-02-21
10019,2014-02-24,-4,6,2014-02-22
10019,2014-02-24,-4,6,2014-02-22
10019,2014-02-24,-4,6,2014-02-22
10019,2014-02-24,-4,6,2014-02-22
10019,2014-02-24,-4,6,2014-02-22
10019,2014-02-24,-4,6,2014-02-23
10019,2014-02-24,-4,6,2014-02-23
10019,2014-02-24,-4,6,2014-02-23
10019,2014-02-24,-4,6,2014-02-23
10019,2014-02-24,-4,6,2014-02-24
10019,2014-02-24,-4,6,2014-02-24
10019,2014-02-24,-4,6,2014-02-24
10019,2014-02-24,-4,6,2014-02-24
10019,2014-02-24,-4,6,2014-02-24
10021,2014-02-27,1,2,2014-02-20
10021,2014-02-27,2,21,2014-02-25
10021,2014-02-27,-4,6,2014-02-20
10021,2014-02-27,-4,6,2014-02-20
10021,2014-02-27,-4,6,2014-02-20
10021,2014-02-27,-4,6,2014-02-21
10021,2014-02-27,-4,6,2014-02-21
10021,2014-02-27,-4,6,2014-02-22
10021,2014-02-27,4,7,2014-02-20
10021,2014-02-27,4,7,2014-02-20
10022,2014-02-25,1,0,2014-02-20
10022,2014-02-25,1,1,2014-02-20
10022,2014-02-25,1,20,2014-02-20
10022,2014-02-25,1,2,2014-02-20
10022,2014-02-25,1,4,2014-02-20
10022,2014-02-25,2,1,2014-02-20
10022,2014-02-25,4,1,2014-02-20
10022,2014-02-25,-4,6,2014-02-20
10022,2014-02-25,-4,6,2014-02-20
10022,2014-02-25,-4,6,2014-02-20
10022,2014-02-25,-4,6,2014-02-20
10022,2014-02-25,-4,6,2014-02-20
10022,2014-02-25,-4,6,2014-02-20
10022,2014-02-25,-4,6,2014-02-20
10022,2014-02-25,-4,6,2014-02-21
10022,2014-02-25,-4,6,2014-02-21
10022,2014-02-25,-4,6,2014-02-24
10022,2014-02-25,4,7,2014-02-21
10022,2014-02-25,4,7,2014-02-21
10024,2014-03-06,1,0,2014-02-20
10024,2014-03-06,1,1,2014-02-20
10024,2014-03-06,1,20,2014-02-20
10024,2014-03-06,1,2,2014-02-20
10024,2014-03-06,2,1,2014-02-20
10024,2014-03-06,4,1,2014-02-20
10024,2014-03-06,-4,6,2014-02-20
10024,2014-03-06,-4,6,2014-03-05
10024,2014-03-06,-4,6,2014-03-06
10026,2014-03-04,-10,13,2014-03-02
10026,2014-03-04,1,0,2014-02-20
10026,2014-03-04,1,1,2014-02-20
10026,2014-03-04,1,20,2014-02-20
10026,2014-03-04,1,2,2014-02-20
10026,2014-03-04,2,1,2014-02-20
10026,2014-03-04,3,1,2014-03-02
10026,2014-03-04,4,1,2014-02-20
10026,2014-03-04,-4,6,2014-02-20
10026,2014-03-04,-4,6,2014-02-20
10026,2014-03-04,-4,6,2014-02-20
10026,2014-03-04,-4,6,2014-02-20
10026,2014-03-04,-4,6,2014-02-20
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-21
10026,2014-03-04,-4,6,2014-02-22
10026,2014-03-04,-4,6,2014-02-22
10026,2014-03-04,-4,6,2014-02-23
10026,2014-03-04,-4,6,2014-02-28
10026,2014-03-04,-4,6,2014-03-02
10026,2014-03-04,-4,6,2014-03-02
10026,2014-03-04,-4,6,2014-03-02
10026,2014-03-04,-4,6,2014-03-02
10026,2014-03-04,-4,6,2014-03-02
10026,2014-03-04,-4,6,2014-03-03
10026,2014-03-04,-4,6,2014-03-03
10026,2014-03-04,-4,6,2014-03-03
10026,2014-03-04,-4,6,2014-03-03
10026,2014-03-04,-4,6,2014-03-04
10026,2014-03-04,-4,6,2014-03-04
10026,2014-03-04,-4,6,2014-03-04
10026,2014-03-04,4,7,2014-02-21
10026,2014-03-04,4,7,2014-03-03
10027,2014-02-26,1,2,2014-02-20
10027,2014-02-26,2,21,2014-02-26
10027,2014-02-26,-4,6,2014-02-20
10027,2014-02-26,-4,6,2014-02-20
10027,2014-02-26,-4,6,2014-02-20
10027,2014-02-26,-4,6,2014-02-21
10031,2014-03-07,-10,13,2014-03-05
10031,2014-03-07,1,0,2014-02-20
10031,2014-03-07,10,20,2014-03-05
10031,2014-03-07,10,20,2014-03-05
10031,2014-03-07,1,1,2014-02-20
10031,2014-03-07,1,20,2014-02-20
10031,2014-03-07,1,2,2014-02-20
10031,2014-03-07,2,1,2014-02-20
10031,2014-03-07,2,21,2014-03-07
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-05
10031,2014-03-07,2,3,2014-03-06
10031,2014-03-07,2,3,2014-03-06
10031,2014-03-07,2,3,2014-03-06
10031,2014-03-07,2,3,2014-03-07
10031,2014-03-07,2,3,2014-03-07
10031,2014-03-07,3,1,2014-03-05
10031,2014-03-07,4,1,2014-02-20
10031,2014-03-07,-4,6,2014-02-20
10031,2014-03-07,-4,6,2014-02-20
10031,2014-03-07,-4,6,2014-03-05
10031,2014-03-07,-4,6,2014-03-05
10031,2014-03-07,-4,6,2014-03-05
10031,2014-03-07,-4,6,2014-03-06
10031,2014-03-07,-4,6,2014-03-06
10031,2014-03-07,-4,6,2014-03-07
10031,2014-03-07,4,7,2014-03-05
10032,2014-02-26,107,6,2014-02-21
10032,2014-02-26,107,6,2014-02-24
10032,2014-02-26,1,1,2014-02-20
10032,2014-02-26,1,20,2014-02-20
10032,2014-02-26,12,0,2014-02-20
10032,2014-02-26,1,2,2014-02-20
10032,2014-02-26,2,1,2014-02-20
10032,2014-02-26,2,21,2014-02-26
10032,2014-02-26,4,1,2014-02-20
10032,2014-02-26,-4,6,2014-02-20
10032,2014-02-26,-4,6,2014-02-21
10032,2014-02-26,-4,6,2014-02-24
10032,2014-02-26,-4,6,2014-02-24
10032,2014-02-26,4,7,2014-02-24
10036,2014-02-27,1,2,2014-02-20
10036,2014-02-27,2,21,2014-02-27
10036,2014-02-27,-4,6,2014-02-20
10036,2014-02-27,-4,6,2014-02-21
10036,2014-02-27,-4,6,2014-02-21
10036,2014-02-27,-4,6,2014-02-22
10036,2014-02-27,-4,6,2014-02-22
10036,2014-02-27,-4,6,2014-02-22
10036,2014-02-27,-4,6,2014-02-23
10036,2014-02-27,-4,6,2014-02-23
10036,2014-02-27,-4,6,2014-02-25
10039,2014-02-22,107,6,2014-02-20
10039,2014-02-22,107,6,2014-02-20
10039,2014-02-22,107,6,2014-02-21
10039,2014-02-22,107,6,2014-02-21
10039,2014-02-22,107,6,2014-02-21
10039,2014-02-22,107,6,2014-02-21
10039,2014-02-22,107,6,2014-02-21
10039,2014-02-22,107,6,2014-02-22
10039,2014-02-22,1,1,2014-02-20
10039,2014-02-22,1,20,2014-02-20
10039,2014-02-22,12,0,2014-02-20
10039,2014-02-22,1,2,2014-02-20
10039,2014-02-22,1,4,2014-02-21
10039,2014-02-22,2,1,2014-02-20
10039,2014-02-22,4,1,2014-02-20
10039,2014-02-22,-4,6,2014-02-20
10039,2014-02-22,-4,6,2014-02-20
10039,2014-02-22,-4,6,2014-02-20
10039,2014-02-22,-4,6,2014-02-21
10039,2014-02-22,-4,6,2014-02-21
10039,2014-02-22,-4,6,2014-02-21
10039,2014-02-22,-4,6,2014-02-21
10039,2014-02-22,-4,6,2014-02-21
10039,2014-02-22,-4,6,2014-02-22
10040,2014-02-23,1,0,2014-02-20
10040,2014-02-23,1,1,2014-02-20
10040,2014-02-23,1,20,2014-02-20
10040,2014-02-23,1,2,2014-02-20
10040,2014-02-23,2,1,2014-02-20
10040,2014-02-23,2,21,2014-02-23
10040,2014-02-23,4,1,2014-02-20
10040,2014-02-23,-4,6,2014-02-20
10040,2014-02-23,-4,6,2014-02-21
10044,2014-02-24,1,0,2014-02-20
10044,2014-02-24,1,1,2014-02-20
10044,2014-02-24,1,20,2014-02-20
10044,2014-02-24,1,2,2014-02-20
10044,2014-02-24,2,1,2014-02-20
10044,2014-02-24,4,1,2014-02-20
10044,2014-02-24,-4,6,2014-02-20
10044,2014-02-24,-4,6,2014-02-24
10050,2014-02-26,107,6,2014-02-22
10050,2014-02-26,107,6,2014-02-24
10050,2014-02-26,107,6,2014-02-24
10050,2014-02-26,107,6,2014-02-24
10050,2014-02-26,107,6,2014-02-24
10050,2014-02-26,107,6,2014-02-24
10050,2014-02-26,107,6,2014-02-24
10050,2014-02-26,107,6,2014-02-25
10050,2014-02-26,107,6,2014-02-26
10050,2014-02-26,1,1,2014-02-20
10050,2014-02-26,1,20,2014-02-20
10050,2014-02-26,12,0,2014-02-20
10050,2014-02-26,1,2,2014-02-20
10050,2014-02-26,2,1,2014-02-20
10050,2014-02-26,4,1,2014-02-20
10050,2014-02-26,-4,6,2014-02-20
10050,2014-02-26,-4,6,2014-02-22
10050,2014-02-26,-4,6,2014-02-24
10050,2014-02-26,-4,6,2014-02-24
10050,2014-02-26,-4,6,2014-02-24
10050,2014-02-26,-4,6,2014-02-24
10050,2014-02-26,-4,6,2014-02-24
10050,2014-02-26,-4,6,2014-02-24
10050,2014-02-26,-4,6,2014-02-25
10050,2014-02-26,-4,6,2014-02-26
10054,2014-02-24,107,6,2014-02-21
10054,2014-02-24,107,6,2014-02-21
10054,2014-02-24,107,6,2014-02-22
10054,2014-02-24,1,1,2014-02-20
10054,2014-02-24,1,20,2014-02-20
10054,2014-02-24,12,0,2014-02-20
10054,2014-02-24,1,2,2014-02-20
10054,2014-02-24,2,1,2014-02-20
10054,2014-02-24,4,1,2014-02-20
10054,2014-02-24,-4,6,2014-02-20
10054,2014-02-24,-4,6,2014-02-21
10054,2014-02-24,-4,6,2014-02-21
10054,2014-02-24,-4,6,2014-02-22
10059,2014-02-26,1,0,2011-05-26
10059,2014-02-26,10,20,2014-02-20
10059,2014-02-26,10,20,2014-02-20
10059,2014-02-26,1,1,2011-05-26
10059,2014-02-26,1,20,2014-02-20
10059,2014-02-26,1,2,2014-02-20
10059,2014-02-26,2,1,2011-05-26
10059,2014-02-26,3,1,2011-05-26
10059,2014-02-26,4,1,2011-05-26
10059,2014-02-26,4,6,2011-05-26
10059,2014-02-26,4,6,2011-05-26
10059,2014-02-26,-4,6,2014-02-20
10059,2014-02-26,-4,6,2014-02-20
10059,2014-02-26,-4,6,2014-02-20
10059,2014-02-26,-4,6,2014-02-20
10059,2014-02-26,-4,6,2014-02-21
10059,2014-02-26,-4,6,2014-02-21
10059,2014-02-26,-4,6,2014-02-21
10059,2014-02-26,-4,6,2014-02-22
10059,2014-02-26,-4,6,2014-02-22
10059,2014-02-26,-4,6,2014-02-23
10059,2014-02-26,-4,6,2014-02-24
10059,2014-02-26,-4,6,2014-02-24
10059,2014-02-26,-4,6,2014-02-25
10059,2014-02-26,-4,6,2014-02-25
10059,2014-02-26,-4,6,2014-02-25
10059,2014-02-26,-4,6,2014-02-25
10059,2014-02-26,-4,6,2014-02-25
10059,2014-02-26,-4,6,2014-02-25
10059,2014-02-26,-4,6,2014-02-25
10059,2014-02-26,-4,6,2014-02-26
10059,2014-02-26,-4,6,2014-02-26
10059,2014-02-26,-4,6,2014-02-26
10059,2014-02-26,4,7,2014-02-20
10059,2014-02-26,4,7,2014-02-21
10059,2014-02-26,4,7,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-21
10059,2014-02-26,99,6,2014-02-23
10059,2014-02-26,99,6,2014-02-23
1006,2013-11-18,1,0,2013-10-30
1006,2013-11-18,10,20,2013-11-12
1006,2013-11-18,107,6,2013-11-12
1006,2013-11-18,1,1,2013-10-30
1006,2013-11-18,1,20,2013-11-12
1006,2013-11-18,1,2,2013-11-12
1006,2013-11-18,2,1,2013-10-30
1006,2013-11-18,4,1,2013-10-30
1006,2013-11-18,-4,6,2013-10-30
1006,2013-11-18,-4,6,2013-11-12
1006,2013-11-18,-4,6,2013-11-12
1006,2013-11-18,-4,6,2013-11-12
1006,2013-11-18,-4,6,2013-11-12
1006,2013-11-18,-4,6,2013-11-12
1006,2013-11-18,-4,6,2013-11-16
1006,2013-11-18,-4,6,2013-11-17
1006,2013-11-18,-4,6,2013-11-17
1006,2013-11-18,-4,6,2013-11-18
10063,2014-02-22,1,0,2014-02-20
10063,2014-02-22,1,1,2014-02-20
10063,2014-02-22,1,20,2014-02-20
10063,2014-02-22,1,2,2014-02-20
10063,2014-02-22,2,1,2014-02-20
10063,2014-02-22,4,1,2014-02-20
10063,2014-02-22,-4,6,2014-02-20
10063,2014-02-22,-4,6,2014-02-20
10063,2014-02-22,-4,6,2014-02-21
10063,2014-02-22,-4,6,2014-02-21
10063,2014-02-22,-4,6,2014-02-21
10063,2014-02-22,-4,6,2014-02-21
10063,2014-02-22,-4,6,2014-02-21
10067,2014-02-25,1,0,2014-02-21
10067,2014-02-25,10,20,2014-02-21
10067,2014-02-25,1,1,2014-02-21
10067,2014-02-25,1,20,2014-02-21
10067,2014-02-25,1,2,2014-02-21
10067,2014-02-25,2,1,2014-02-21
10067,2014-02-25,2,21,2014-02-25
10067,2014-02-25,4,1,2014-02-21
10067,2014-02-25,-4,6,2014-02-21
10067,2014-02-25,-4,6,2014-02-21
10067,2014-02-25,-4,6,2014-02-21
10067,2014-02-25,-4,6,2014-02-21
10067,2014-02-25,-4,6,2014-02-22
10067,2014-02-25,-4,6,2014-02-24
10067,2014-02-25,4,7,2014-02-21
10068,2014-03-04,107,6,2014-02-21
10068,2014-03-04,107,6,2014-02-23
10068,2014-03-04,107,6,2014-02-23
10068,2014-03-04,107,6,2014-02-23
10068,2014-03-04,107,6,2014-02-24
10068,2014-03-04,107,6,2014-02-25
10068,2014-03-04,107,6,2014-02-25
10068,2014-03-04,107,6,2014-02-25
10068,2014-03-04,107,6,2014-02-26
10068,2014-03-04,107,6,2014-02-26
10068,2014-03-04,107,6,2014-02-26
10068,2014-03-04,107,6,2014-02-28
10068,2014-03-04,107,6,2014-02-28
10068,2014-03-04,107,6,2014-03-04
10068,2014-03-04,107,6,2014-03-04
10068,2014-03-04,1,1,2014-02-21
10068,2014-03-04,1,20,2014-02-21
10068,2014-03-04,12,0,2014-02-21
10068,2014-03-04,1,2,2014-02-21
10068,2014-03-04,1,2,2014-02-21
10068,2014-03-04,2,1,2014-02-21
10068,2014-03-04,4,1,2014-02-21
10068,2014-03-04,-4,6,2014-02-21
10068,2014-03-04,-4,6,2014-02-21
10068,2014-03-04,-4,6,2014-02-23
10068,2014-03-04,-4,6,2014-02-23
10068,2014-03-04,-4,6,2014-02-23
10068,2014-03-04,-4,6,2014-02-24
10068,2014-03-04,-4,6,2014-02-25
10068,2014-03-04,-4,6,2014-02-25
10068,2014-03-04,-4,6,2014-02-25
10068,2014-03-04,-4,6,2014-02-26
10068,2014-03-04,-4,6,2014-02-26
10068,2014-03-04,-4,6,2014-02-26
10068,2014-03-04,-4,6,2014-02-28
10068,2014-03-04,-4,6,2014-02-28
10068,2014-03-04,-4,6,2014-03-04
10068,2014-03-04,-4,6,2014-03-04
10069,2014-02-24,1,0,2014-02-21
10069,2014-02-24,10,20,2014-02-21
10069,2014-02-24,1,1,2014-02-21
10069,2014-02-24,1,20,2014-02-21
10069,2014-02-24,1,2,2014-02-21
10069,2014-02-24,2,1,2014-02-21
10069,2014-02-24,4,1,2014-02-21
10069,2014-02-24,-4,6,2014-02-21
10069,2014-02-24,-4,6,2014-02-21
10069,2014-02-24,-4,6,2014-02-22
10069,2014-02-24,-4,6,2014-02-22
10069,2014-02-24,-4,6,2014-02-23
10069,2014-02-24,-4,6,2014-02-23
10069,2014-02-24,-4,6,2014-02-24
10069,2014-02-24,99,6,2014-02-22
10069,2014-02-24,99,6,2014-02-22
10069,2014-02-24,99,6,2014-02-22
1007,2013-11-18,103,6,2013-11-13
1007,2013-11-18,103,6,2013-11-13
1007,2013-11-18,103,6,2013-11-13
1007,2013-11-18,103,6,2013-11-14
1007,2013-11-18,103,6,2013-11-15
1007,2013-11-18,103,6,2013-11-16
1007,2013-11-18,103,6,2013-11-16
1007,2013-11-18,103,6,2013-11-17
1007,2013-11-18,103,6,2013-11-18
1007,2013-11-18,103,6,2013-11-18
1007,2013-11-18,1,1,2013-11-12
1007,2013-11-18,1,20,2013-11-12
1007,2013-11-18,1,20,2013-11-12
1007,2013-11-18,1,2,2013-11-12
1007,2013-11-18,2,1,2013-11-12
1007,2013-11-18,4,1,2013-11-12
1007,2013-11-18,-4,6,2013-11-12
1007,2013-11-18,-4,6,2013-11-13
1007,2013-11-18,-4,6,2013-11-13
1007,2013-11-18,-4,6,2013-11-14
1007,2013-11-18,-4,6,2013-11-14
1007,2013-11-18,-4,6,2013-11-15
1007,2013-11-18,-4,6,2013-11-15
1007,2013-11-18,-4,6,2013-11-15
1007,2013-11-18,-4,6,2013-11-15
1007,2013-11-18,-4,6,2013-11-16
1007,2013-11-18,-4,6,2013-11-16
1007,2013-11-18,-4,6,2013-11-16
1007,2013-11-18,-4,6,2013-11-16
1007,2013-11-18,-4,6,2013-11-16
1007,2013-11-18,-4,6,2013-11-16
1007,2013-11-18,-4,6,2013-11-16
1007,2013-11-18,-4,6,2013-11-17
1007,2013-11-18,-4,6,2013-11-18
1007,2013-11-18,-4,6,2013-11-18
1007,2013-11-18,-4,6,2013-11-18
1007,2013-11-18,-4,6,2013-11-18
1007,2013-11-18,-4,6,2013-11-18
1007,2013-11-18,5,0,2013-11-12
10070,2014-03-03,1,0,2014-02-21
10070,2014-03-03,1,1,2014-02-21
10070,2014-03-03,1,20,2014-02-21
10070,2014-03-03,1,2,2014-02-21
10070,2014-03-03,2,1,2014-02-21
10070,2014-03-03,2,21,2014-03-03
10070,2014-03-03,4,1,2014-02-21
10070,2014-03-03,-4,6,2014-02-21
10070,2014-03-03,-4,6,2014-02-23
10070,2014-03-03,-4,6,2014-02-24
10070,2014-03-03,-4,6,2014-02-25
10070,2014-03-03,-4,6,2014-02-27
10070,2014-03-03,-4,6,2014-03-01
10072,2014-02-24,1,20,2014-02-21
10072,2014-02-24,1,2,2014-02-21
10072,2014-02-24,2,21,2014-02-24
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-21
10072,2014-02-24,-4,6,2014-02-23
10073,2014-02-24,1,2,2014-02-21
10073,2014-02-24,2,21,2014-02-24
10073,2014-02-24,-4,6,2014-02-20
10073,2014-02-24,-4,6,2014-02-21
10073,2014-02-24,-4,6,2014-02-21
10073,2014-02-24,-4,6,2014-02-21
10073,2014-02-24,-4,6,2014-02-21
10073,2014-02-24,-4,6,2014-02-21
10073,2014-02-24,-4,6,2014-02-21
10073,2014-02-24,-4,6,2014-02-21
10073,2014-02-24,-4,6,2014-02-22
10073,2014-02-24,-4,6,2014-02-22
10073,2014-02-24,-4,6,2014-02-24
10073,2014-02-24,-4,6,2014-02-24
10075,2014-02-22,1,2,2014-02-21
10075,2014-02-22,-4,6,2014-02-21
10075,2014-02-22,-4,6,2014-02-21
10075,2014-02-22,-4,6,2014-02-22
10075,2014-02-22,-4,6,2014-02-22
10077,2014-02-28,-10,13,2014-02-24
10077,2014-02-28,1,0,2014-02-21
10077,2014-02-28,1,1,2014-02-21
10077,2014-02-28,1,20,2014-02-21
10077,2014-02-28,1,2,2014-02-21
10077,2014-02-28,2,1,2014-02-21
10077,2014-02-28,2,21,2014-02-28
10077,2014-02-28,3,1,2014-02-21
10077,2014-02-28,3,1,2014-02-24
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-21
10077,2014-02-28,-4,6,2014-02-22
10077,2014-02-28,-4,6,2014-02-24
10077,2014-02-28,-4,6,2014-02-25
10077,2014-02-28,-4,6,2014-02-25
10077,2014-02-28,-4,6,2014-02-25
10077,2014-02-28,-4,6,2014-02-25
10077,2014-02-28,-4,6,2014-02-25
10077,2014-02-28,-4,6,2014-02-25
10077,2014-02-28,-4,6,2014-02-27
10079,2014-02-24,1,0,2014-02-21
10079,2014-02-24,1,1,2014-02-21
10079,2014-02-24,1,20,2014-02-21
10079,2014-02-24,1,2,2014-02-21
10079,2014-02-24,2,1,2014-02-21
10079,2014-02-24,2,21,2014-02-24
10079,2014-02-24,4,1,2014-02-21
10079,2014-02-24,-4,6,2014-02-21
10080,2014-03-04,1,0,2014-02-21
10080,2014-03-04,1,1,2014-02-21
10080,2014-03-04,1,20,2014-02-21
